R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Derek Brunson,Darren Till,+155,-180,+155,55.55555555555556,2021-09-04,"Las Vegas, Nevada, USA",USA,,False,Middleweight,MALE,5,1,0,1,2.27,0.46,0.0,0.54,0.41,4,3,29,1,0,1,3,2,0,0,6,Southpaw,182.88,187.96,185,0,4,0,3.46,0.47,0.5,3.11,0.33,5,6,44,0,0,0,7,7,2,0,16,Southpaw,185.42,195.58,185,37,28,1,-4,-1,-10,-3,-15,1,-5,-2,-2.5400000000000205,-7.620000000000003,-9,-1.19,-0.5,-2.57,1,1,7.0,5.0,,,,,,,5.0,,,,,,,,,,,,,7.0,,,,,,,Red,,,,,,+450,+330,+2000,+1600,+330,+120
Tom Aspinall,Serghei Spivac,-250,+200,40.0,+200,2021-09-04,"Las Vegas, Nevada, USA",USA,,False,Heavyweight,MALE,3,0,3,0,3.85,0.5,0.2,2.83,0.63,3,2,14,0,1,0,1,1,1,0,4,Orthodox,190.5,198.12,260,0,3,0,7.43,0.66,1.8,3.54,1.0,3,0,4,0,0,0,0,2,1,0,3,Orthodox,195.58,198.12,256,28,26,0,0,0,1,2,10,0,-1,0,-5.0800000000000125,0.0,-2,-3.58,-1.6,-0.71,1,1,14.0,13.0,,,,,13.0,,,,,,,,,,,,,14.0,,,,,,,,,Red,,,,,,+500,+500,+500,+900,-110,+700
Alex Morono,David Zawada,-135,+115,74.07407407407408,+115,2021-09-04,"Las Vegas, Nevada, USA",USA,,False,Welterweight,MALE,3,1,0,0,3.24,0.4,2.2,0.96,0.3,1,3,10,0,0,0,0,0,1,0,1,Orthodox,182.88,190.5,170,0,1,0,5.05,0.42,0.4,0.43,0.25,3,4,30,0,0,1,4,2,1,0,8,Orthodox,180.34,182.88,170,31,31,1,-1,-2,-7,-1,-20,0,-2,0,2.539999999999992,7.620000000000003,0,-1.81,1.8000000000000005,0.53,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+180,+250,+550,+700,+500,+550
Modestas Bukauskas,Khalil Rountree Jr.,-155,+135,64.51612903225806,+135,2021-09-04,"Las Vegas, Nevada, USA",USA,,False,Light Heavyweight,MALE,3,2,0,0,3.06,0.38,0.2,0.0,0.0,3,5,18,0,0,0,1,3,0,0,4,Southpaw,185.42,193.04,205,2,0,0,3.77,0.35,0.0,0.0,0.0,1,2,5,0,0,0,0,1,0,0,1,Switch,190.5,198.12,205,27,31,0,0,2,3,3,13,0,2,0,-5.079999999999984,-5.0800000000000125,4,-0.71,0.2,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+330,+600,+1000,+2500,+140,+240
Paddy Pimblett,Luigi Vendramini,-155,+135,64.51612903225806,+135,2021-09-04,"Las Vegas, Nevada, USA",USA,,False,Lightweight,MALE,3,1,0,0,2.26,0.37,0.7,0.67,0.08,1,2,6,0,0,0,0,1,0,0,1,Orthodox,172.72,185.42,155,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,155,26,25,1,0,1,1,2,6,0,1,0,-5.0800000000000125,0.0,-1,2.26,0.7,0.67,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+300,+380,+275,+800,+350,+400
Molly McCann,Ji Yeon Kim,-105,-115,95.23809523809523,86.95652173913044,2021-09-04,"Las Vegas, Nevada, USA",USA,,False,Women's Flyweight,FEMALE,3,1,0,0,4.5,0.34,0.0,0.0,0.0,2,3,17,0,0,2,0,1,0,0,3,Orthodox,170.18,182.88,125,2,0,0,5.15,0.5,0.7,1.64,0.29,3,3,17,0,0,0,3,0,0,0,3,Orthodox,162.56,157.48,125,31,31,-1,0,-1,0,0,0,0,1,0,7.620000000000003,25.40000000000001,0,-0.6500000000000004,-0.7,-1.64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+150,+120,+1200,+1000,+1000,+1100
Jack Shore,Liudvik Sholinian,-590,+425,16.94915254237288,+425,2021-09-04,"Las Vegas, Nevada, USA",USA,,False,Bantamweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,135,0,3,0,3.14,0.57,0.8,5.52,0.46,3,0,8,0,0,1,0,0,2,0,3,Orthodox,172.72,180.34,135,26,31,0,-3,-3,-3,0,-8,0,0,-2,5.0800000000000125,0.0,5,-3.14,-0.8,-5.52,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+140,+700,+175,+2200,+350,+1200
Julian Erosa,Charles Jourdain,+155,-180,+155,55.55555555555556,2021-09-04,"Las Vegas, Nevada, USA",USA,,False,Catch Weight,MALE,3,0,1,1,4.79,0.45,0.7,0.0,0.0,1,2,14,0,0,0,0,2,0,0,2,Switch,175.26,175.26,145,1,0,0,5.1,0.47,0.9,1.29,0.54,2,5,19,0,0,1,0,2,1,0,4,Southpaw,185.42,187.96,145,32,25,-1,1,-1,-2,-3,-5,0,0,-1,-10.160000000000023,-12.700000000000015,-7,-0.3099999999999996,-0.2,-1.29,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+380,+425,+700,+1000,+650,+110
Dalcha Lungiambula,Marc-Andre Barriault,+145,-165,+145,60.60606060606061,2021-09-04,"Las Vegas, Nevada, USA",USA,,False,Middleweight,MALE,3,0,1,0,5.36,0.48,0.0,0.43,0.25,1,3,14,0,0,0,0,1,0,0,1,Orthodox,185.42,187.96,185,0,1,0,1.85,0.5,0.0,2.07,0.5,1,1,9,0,0,0,1,1,0,0,2,Orthodox,172.72,193.04,185,34,31,0,0,0,-1,2,5,0,0,0,12.700000000000015,-5.079999999999984,-3,3.51,0.0,-1.64,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+350,+250,+1800,+900,+350,+180
Jonathan Martinez,Marcelo Rojo,-165,+145,60.60606060606061,+145,2021-09-04,"Las Vegas, Nevada, USA",USA,,False,Bantamweight,MALE,3,1,0,0,5.1,0.36,0.0,1.03,0.5,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,135,1,0,0,4.27,0.46,0.0,0.48,0.37,2,3,20,0,0,0,2,2,0,0,4,Southpaw,172.72,177.8,135,27,33,0,0,-2,-4,-2,-17,0,-2,0,0.0,2.539999999999992,6,0.8300000000000001,0.0,0.55,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+215,+300,+900,+1100,+240,+450
